id,branch,address,link,icon,longitude,latitude
Az-Shop-0001,Adly Mansour Metro Station,"Adly Mansour Central Station, 10th Park inside Metro Station",https://goo.gl/maps/cCoGeE3rBNz1in5k6,https://al-azab.co/img/icons-5060.png,30.802498,26.820553
Az-Shop-0002,Agora Mall,Agora Mall - Ground Floor - Fifth Settlement,https://goo.gl/maps/tDFSwg3iHs7r7Cie7,https://al-azab.co/img/icons-5060.png,31.4284756,30.0084868
Az-Shop-0003,Ain Shams Law,Ain Shams University - Faculty of Law,https://maps.app.goo.gl/AV7oNVy3zv1ELvBz8,https://al-azab.co/img/icons-5060.png,31.2864456,30.0772428
Az-Shop-0004,Ain Shams University,Ain Shams University -Faculty Of Commerce,https://goo.gl/maps/LGGAzW8ZAf7pYVz49,https://al-azab.co/img/icons-5060.png,31.2873348,30.0746829
Az-Shop-0005,Ain Shams University 3,Ain Shams University - Faculty of Arts,https://maps.app.goo.gl/ubdBiMwJz1ofBZKc9,https://al-azab.co/img/icons-5060.png,31.287256,30.0767007
Az-Shop-0006,AirPort T1,Old Airport T1,https://goo.gl/maps/q3bVw53xkvkSTyVY6,https://al-azab.co/img/icons-5060.png,30.802498,26.820553
Az-Shop-0007,AirPort T2,New Airport Terminal 2,https://goo.gl/maps/acYTr6K66V12g5gV7,https://al-azab.co/img/icons-5060.png,30.802498,26.820553
Az-Shop-0008,AirPort T2-G,Airport T2 in front of the Multi Garage,https://maps.app.goo.gl/2yj2q8Lvr3SYtuPr7,https://al-azab.co/img/icons-5060.png,30.802498,26.820553
Az-Shop-0009,AirPort T3-F,New Airport 3 - corridor F,https://goo.gl/maps/dwB7C6nbsmmdHup27,https://al-azab.co/img/icons-5060.png,30.802498,26.820553
Az-Shop-0010,AirPort T3-G,New Airport 3 - corridor G,https://goo.gl/maps/LNAnfYghUxvz4DKa7,https://al-azab.co/img/icons-5060.png,30.802498,26.820553
Az-Shop-0011,Al Far Market,"South 90th Street, Fifth Settlement, in front of Concord Plaza Mall.",https://goo.gl/maps/hBdajgjKRiKwizs68,https://al-azab.co/img/icons-5060.png,31.4430295,30.0122123
Az-Shop-0012,Al Husseini to go,"Al-Husseiny Mall, Al-Tagamoa, next to the first Nakheel Compound, New Cairo, Cairo Governorate",https://maps.app.goo.gl/QgtpeeRQtzSKS2tBA,https://al-azab.co/img/icons-5060.png,31.4226647,30.0549189
